medicineName,dosage,uses,details
Unitaxel 100 Mg / 16.67 Ml 1 Vial,"100 MG, 16.67 ML, 16.67 ML",,Parenteral formulation
Unitaxel 30 Mg / 5 Ml 1 Vial,"30 MG, 5 ML, 5 ML",,Parenteral formulation
United Sootha Nasal Spray 30 ml,30 ML,Pharmacological Agent,Nasal spray
Unitex RS Gel 50 gm,50 G,Pharmacological Agent,Topical gel
Unitopfin Topical Cream 15 gm,15 G,Pharmacological Agent,Topical cream
Unitrexate 50 Mg / 2 Ml 1 Vial,"50 MG, 2 ML, 2 ML",,Parenteral formulation
Unitrexate 50 Mg / 2 Ml 5 Vial,"50 MG, 2 ML, 2 ML",,Parenteral formulation
Unitrexate 50 Mg 5 Vial 2 ml I.M/I.V Injection,"50 MG, 2 ML",Pharmacological Agent,Methotrexate
Unitrexate 500 mg 1 Vial 20 ml,"500 MG, 20 ML",Pharmacological Agent,Methotrexate
Unitrin 10 mg 30,10 MG,Pharmacological Agent,Phenobarbital
Unitrin 25 mg 30,25 MG,Pharmacological Agent,Phenobarbital
Unitrin 25 Mg 30 Cap,25 MG,,Oral capsule formulation
Universal 50 Gm Cream,"50 G, 50 G",,Topical cream formulation
Universal Cream 100 gm,100 G,Pharmacological Agent,Topical cream
Universal Massage Cream 50 gm,50 G,Pharmacological Agent,Massage cream
Universal Massage Spray 100 ml,100 ML,Pharmacological Agent,Massage spray
Univit,,Nutritional supplement,Vitamin syrup
Univita 30,,Nutritional supplement,Vitamin supplement
Univita 30 Cap,,,Oral capsule formulation
Unizithrin 100 Mg / 5 Ml Susp 30 Ml,"100 MG, 5 ML, 30 ML, 5 ML, 30 ML",,Pharmaceutical preparation
Unizithrin 500 mg 3,500 MG,Macrolide Antibiotic,Azithromycin
Unizithrin 500 Mg 3 Cap (611684),500 MG,,Oral capsule formulation
Unizithrin 500 Mg 6 Cap (138756),500 MG,,Oral capsule formulation
Unizithrocure 200 mg / 5 ml Suspension 15 ml,"200 MG, 5 ML, 15 ML",Macrolide Antibiotic,Azithromycin
Unocron MR 60 mg 30,60 MG,Calcium Channel Blocker,Diltiazem
Unovit,,Nutritional supplement,Vitamin syrup
Unovit Syrup 120 Ml,"120 ML, 120 ML",,Oral liquid formulation
Unsiatem 120 mg 30,120 MG,Calcium Channel Blocker,Diltiazem
Unsiatem 40 mg 30,40 MG,Calcium Channel Blocker,Diltiazem
Unsiatem 80 mg 30,80 MG,Calcium Channel Blocker,Diltiazem
Up Cool Spray (Chamomile Perfume) 75 ml,75 ML,Pharmacological Agent,Body spray
Update Body Oil 60 ml,60 ML,Pharmacological Agent,Body oil
UR - C Vitamin C Oral,,Vitamin C (Antioxidant),Ascorbic acid
Ur - D 200 I.U Oral,,"Bone health, Calcium absorption",Vitamin D
Ur - D 5000 I.U 30,,"Bone health, Calcium absorption",Vitamin D
Ur-Aid - ( N ) 5 gm 12 Sachets,5 G,Pharmacological Agent,Urinary alkalinizer
Uraid - N Eff 12 Sachets,,,Pharmaceutical preparation
Uralyt - U - 280 Gm Granules,"280 G, 280 G",,Pharmaceutical preparation
Uralyt - U - Effervescent Granules 280 gm,280 G,Pharmacological Agent,Urinary alkalinizer
Urecare 30 Gm Cream,"30 G, 30 G",,Topical cream formulation
Urgent Massage Cream 50 gm,50 G,Pharmacological Agent,Massage cream
Urgent Plus Massage Cream 50 gm,50 G,Pharmacological Agent,Massage cream
Urginafect,,Pharmacological Agent,Phenylpropanolamine
Urginafect 10 mg 20,10 MG,Pharmacological Agent,Phenylpropanolamine
Urginafect 5 mg 20,5 MG,Pharmacological Agent,Phenylpropanolamine
Urginafect Plus 20 Modified Release,,Pharmacological Agent,Phenylpropanolamine
Uribladon XR 25 mg 30,25 MG,Pharmacological Agent,Alfuzosin
Uribladon XR 50 mg 30,50 MG,Pharmacological Agent,Alfuzosin
Uricodrop 120 mg 10,120 MG,Pharmacological Agent,Allopurinol
Uricodrop 40 mg 20,40 MG,Pharmacological Agent,Allopurinol
Uricodrop 80 mg 30,80 MG,Pharmacological Agent,Allopurinol
Uricol - N Eff. Gran. 6 Sachets 5 Gm,"5 G, 5 G",,Pharmaceutical preparation
Uricol 6 Effervescent Sachets,,Pharmacological Agent,Urinary alkalinizer
Uricol N 6 Effervescent Sachets,,Pharmacological Agent,Urinary alkalinizer
Uricol Plus N 12 Effervescent Sachets,,Pharmacological Agent,Urinary alkalinizer
Uricontrol 2 mg 10,2 MG,Pharmacological Agent,Flavoxate
Urimagictam 15 mg 30,15 MG,Pharmacological Agent,Oxybutynin
Urinex 24,,Nutritional supplement,Cranberry supplement
Urinex 24 Cap #,,,Oral capsule formulation
Urinex 36,,Nutritional supplement,Cranberry supplement
Uripan 100 Mg / 100 Gm Syrup 120 Ml,"100 MG, 100 G, 100 G, 120 ML, 120 ML",,Oral liquid formulation
Uripan 100 mg/ 100 ml,"100 MG, 100 ML",Pharmacological Agent,Flavoxate
Uripan 5 mg 30,5 MG,Pharmacological Agent,Flavoxate
Uripan Xr 10 Mg 30 Tab #,10 MG,,Oral tablet formulation
Urivin - N Eff 10 Sachets 4 Gm,"4 G, 4 G",,Pharmaceutical preparation
Urivin 10 Packets,,Nutritional supplement,Urinary health supplement
Uro - Vaxom 6 Mg 10 Cap,6 MG,,Oral capsule formulation
Uro-Vaxom 10,,Pharmacological Agent,Bacterial lysate
Uromes 400 mg 5,400 MG,Pharmacological Agent,Phenazopyridine
Uromitexan 400 Mg / 4 Ml 15 Amp ( Xx ),"400 MG, 4 ML, 4 ML",,Pharmaceutical preparation
Uromitexan 400 mg 15,400 MG,Pharmacological Agent,Mesna
Urosolvine 12 Effervescent Sachets,,Pharmacological Agent,Urinary alkalinizer
Urosolvine Eff 12 Sachets 5 Gm #,"5 G, 5 G",,Pharmaceutical preparation
Urosolvine N 12 Effervescent Sachets,,Pharmacological Agent,Urinary alkalinizer
Urso Plus 20 Cap,,,Oral capsule formulation
Ursochol 20,,Pharmacological Agent,Ursodeoxycholic acid
Ursochol 250 Mg 20 Cap,250 MG,,Oral capsule formulation
Ursodiol 250 mg 20,250 MG,Pharmacological Agent,Ursodeoxycholic acid
Ursodiol 250 Mg 20 Cap,250 MG,,Oral capsule formulation
Ursofalk 250 Mg 20 Cap,250 MG,,Oral capsule formulation
Utopiacold 6 Sachets,,"Pain relief, Fever reduction",Paracetamol + Pseudoephedrine + Chlorpheniramine
Utopiacold 6 Sachets X 6 Gm,"6 G, 6 G",Cold Relief,Pharmaceutical preparation
Utoral 250 mg 10,250 MG,Pharmacological Agent,Phenazopyridine
Utoral 500 mg 1 Vial,500 MG,Pharmacological Agent,Phenazopyridine
Utozinc 30 Chew. Tab,,Mineral Supplement,Zinc - Essential mineral for immune function
Utro Care 100 mg 30,100 MG,Pharmacological Agent,Flavoxate
Utrocare 100 mg 30,100 MG,Pharmacological Agent,Flavoxate
Utrocare 100 Mg 30 Cap,100 MG,,Oral capsule formulation
Utrocare 200 mg 30 Soft Gelatin,200 MG,Pharmacological Agent,Flavoxate
Uvamin Retard 100 mg 20,100 MG,Pharmacological Agent,Flavoxate
Uvamin Retard 100 Mg 20 Cap,100 MG,,Oral capsule formulation
V - End Cream 50 gm,50 G,Pharmacological Agent,Topical cream
V V Cream 50 gm,50 G,Pharmacological Agent,Topical cream
Vado Mouth & Throat Spray 60 ml,60 ML,Pharmacological Agent,Mouth spray
Vagiclind 2% Vaginal Cream 40 gm,"40 G, 2%",Antifungal (Imidazole),Clotrimazole
Vagizole 2% Vaginal Cream 15 gm+ 3 Applicators,"15 G, 2%",Antifungal (Imidazole),Clotrimazole
Valcyte 450 Mg 60 Tab,450 MG,,Oral tablet formulation
Valdimir 50 Gm Massage Cream,"50 G, 50 G",,Topical cream formulation
Valgestril 21 Tab,,,Oral tablet formulation
Vally Vant Massage Gel 75 gm,75 G,Pharmacological Agent,Massage gel
Valo Biotin 30 Hard Gelatin,,Vitamin B7,Biotin
Valpoeast- SR 500 mg 20,500 MG,Anticonvulsant,Valproic acid
Valponex 200 mg/5 ml,"200 MG, 5 ML",Anticonvulsant,Valproic acid
Valproex 500 mg 30,500 MG,Anticonvulsant,Valproic acid
Valsatens 80 mg 30,80 MG,Pharmacological Agent,Valsartan
Valsatens Plus 160 / 12.5 mg 30,12.5 MG,Pharmacological Agent,Valsartan + Hydrochlorothiazide
Valsatens Plus 160 Mg / 12.5 Mg 30 Tab,"160 MG, 12.5 MG",,Oral tablet formulation
Valsatens Plus 160 Mg / 25 Mg 30 Tab,"160 MG, 25 MG",,Oral tablet formulation
Valsatens Plus 160 mg/ 25 mg 30,"160 MG, 25 MG, 160 MG + 25 MG",Pharmacological Agent,Valsartan + Hydrochlorothiazide
Valsatens Plus 80 / 12.5 Mg 30 Tab,12.5 MG,,Oral tablet formulation
Valsatens Plus 80 mg/ 12.5 mg 30,"80 MG, 12.5 MG, 80 MG + 12.5 MG",Pharmacological Agent,Valsartan + Hydrochlorothiazide
Valtrex 500 mg 42,500 MG,"Herpes infections, Antiviral",Valacyclovir
Valtrex 500 Mg 42 Tab 3St. (New),500 MG,,Oral tablet formulation
Valulit,,Anticonvulsant,Valproic acid
Valysernex 1000 mg 20,1000 MG,Pharmacological Agent,Levetiracetam
Valysernex 1000 Mg 20 Caplets (123687),1000 MG,,Oral capsule formulation
Vamix Feminine Wash 220 ml,220 ML,Pharmacological Agent,Feminine wash
Vancobact 500 Mg 1 Vial,500 MG,,Parenteral formulation
Vancobact 500 Mg Intravenous Infusion Vial,500 MG,Glycopeptide Antibiotic,Vancomycin
Vancogut 1000 mg Intravenous Infusion Vial,1000 MG,Glycopeptide Antibiotic,Vancomycin
Vancogut 500 mg IV 1 Vial,500 MG,Glycopeptide Antibiotic,Vancomycin
Vancolon 0.5 gm 1 Vial,0.5 G,Glycopeptide Antibiotic,Vancomycin
Vancolon 1 gm 1 Vial,1 G,Glycopeptide Antibiotic,Vancomycin
Vancomycine 1 gm 1 Vial (Fridge),1 G,Glycopeptide Antibiotic,Vancomycin
Vancomycine 500 mg 1 Vial (Fridge),500 MG,Glycopeptide Antibiotic,Vancomycin
Vaniron 5 Sachets,,Pharmacological Agent,Ferrous sulfate
Vanisca Gel For Scar Improvement 30 gm,30 G,Pharmacological Agent,Scar gel
Vanisca Gel For Scar Improvement 50 gm,50 G,Pharmacological Agent,Scar gel
Vano 50 Gm Cream,"50 G, 50 G",,Topical cream formulation
Vantibiotin 60,,Vitamin B7,Biotin
Vantibiotin Plus 60,,Vitamin B7,Biotin
Vantirect 60,,Nutritional supplement,Vitamin supplement
Vantomor 50 mg 20,50 MG,Pharmacological Agent,Sitagliptin
Vantomor 50 Mg 20 Disp. Tab,50 MG,,Oral tablet formulation
Vanvilda 50 mg 30,50 MG,Pharmacological Agent,Sitagliptin
Vanvilda Plus 50 / 1000 Mg 30 Tab,1000 MG,,Oral tablet formulation
Vanvilda Plus 50 / 500 mg 30,500 MG,Pharmacological Agent,Sitagliptin + Metformin
Vanvilda Plus 50/1000 mg 30 Film Coated,1000 MG,Pharmacological Agent,Sitagliptin + Metformin
Vanvilda Plus 50/850 mg 30,850 MG,Pharmacological Agent,Sitagliptin + Metformin
Vanzapro 1 Gm I.v. / I.m. 1 Vial #,"1 G, 1 G",,Parenteral formulation
Vanzapro 2 Gm I.v. 1 Vial,"2 G, 2 G",,Parenteral formulation
Vapozol Inhaler 30 Ml #,"30 ML, 30 ML",,Pharmaceutical preparation
Vapozol Solution For Inhalation 30 ml,30 ML,Pharmacological Agent,Inhalation solution
Vapvolpe Soothing Oint. 50 Gm,"50 G, 50 G",,Pharmaceutical preparation
Vardarict 10 mg 4,10 MG,PDE5 Inhibitor,Vardenafil
Varde 20 mg 4,20 MG,PDE5 Inhibitor,Vardenafil
Vardena 20 mg 4,20 MG,PDE5 Inhibitor,Vardenafil
Vardena 5 mg 12,5 MG,PDE5 Inhibitor,Vardenafil
Vardenorect 20 mg 8,20 MG,PDE5 Inhibitor,Vardenafil
Vardirose 20 mg 12,20 MG,PDE5 Inhibitor,Vardenafil
Varikosan 100 Ml Gel,"100 ML, 100 ML",,Topical gel formulation
Vario 60 Gm Skin Cream,"60 G, 60 G",,Topical cream formulation
Varivax 10 0.5 Ml Subcutaneous 1 Vial (Fridge),0.5 ML,Pharmacological Agent,Varicella vaccine
Varnova 10 mg 30,10 MG,PDE5 Inhibitor,Vardenafil
Varnova 20 mg 4,20 MG,PDE5 Inhibitor,Vardenafil
Varnova 5 mg 30,5 MG,PDE5 Inhibitor,Vardenafil
Vascomedra 600 mg 30,600 MG,Pharmacological Agent,Piracetam
Vascon 1% Oral,1%,Pharmacological Agent,Xylometazoline
Vascon 5 mg 20,5 MG,Pharmacological Agent,Xylometazoline
Vascon N Oral,,Pharmacological Agent,Xylometazoline
Vascular 20 mg 20,20 MG,PDE5 Inhibitor,Vardenafil
Vascurest 450 Mg / 50 Mg 30 Tab,"450 MG, 50 MG",,Oral tablet formulation
Vascurest 450 mg/ 50 mg 30,"450 MG, 50 MG, 450 MG + 50 MG",Second-generation Antihistamine,Levocetirizine + Montelukast
Vaseline Pure 50 Gm فازلين,"50 G, 50 G",,Pharmaceutical preparation
Vasocare 400 mg 20,400 MG,Pharmacological Agent,Pentoxifylline
Vasocontrol Plus 5/25 mg 30,25 MG,ACE Inhibitor,Enalapril + Hydrochlorothiazide
Vasonorm 10 Mg 10 Tab,10 MG,,Oral tablet formulation
Vasonorm 5 mg 10,5 MG,PDE5 Inhibitor,Sildenafil
Vasopine 10 mg 30,10 MG,PDE5 Inhibitor,Sildenafil
Vasopine 5 mg 30,5 MG,PDE5 Inhibitor,Sildenafil
Vasotec 160 mg 14,160 MG,Pharmacological Agent,Olmesartan
Vasotec 40 mg 14,40 MG,Pharmacological Agent,Olmesartan
Vasotec 80 mg 14,80 MG,Pharmacological Agent,Olmesartan
Vastaflam 50 Mg 20 Tab,50 MG,,Oral tablet formulation
Vastarel M R 35 Mg 30 Tab #,35 MG,,Oral tablet formulation
Vastarel MR 35 mg 30,35 MG,Pharmacological Agent,Trimetazidine
Vastasiero 10 mg 20,10 MG,PDE5 Inhibitor,Sildenafil
Vastasiero 20 mg 20,20 MG,PDE5 Inhibitor,Sildenafil
Vastatinal 10 mg /40 mg 7,"10 MG, 40 MG, 10 MG + 40 MG",Statin (HMG-CoA Reductase Inhibitor),Simvastatin + Ezetimibe
Vavosurge 5,,Nutritional supplement,Vitamin supplement
Vaxato 10 Mg 10 Tab,10 MG,,Oral tablet formulation
Vaxato 15 Mg 30 Tab,15 MG,,Oral tablet formulation
Vaxato 2.5 mg 30,2.5 MG,Calcium Channel Blocker,Amlodipine
Vaxato 20 Mg 30 Tab,20 MG,,Oral tablet formulation
Vaxigrip 1 Dose 1 Syringe 0.5 Ml,"0.5 ML, 0.5 ML",,Pharmaceutical preparation
Vaxigrip Tetra Vaccine 1 Prefilled Syringe (Fridge),,Pharmacological Agent,Influenza vaccine
Vaxil Iron 30 Hard Gelatin,,Pharmacological Agent,Ferrous sulfate
Vaxil Sunscreen Gel Cream 50 Ml Spf 50+,"50 ML, 50 ML",,Topical cream formulation
Vecovartec 20 Mg 21 Tab,20 MG,,Oral tablet formulation
Vecovartec 20 mg 28,20 MG,Pharmacological Agent,Olmesartan
Vecovartec Plus 40 / 12.5 Mg 21 Tab,12.5 MG,,Oral tablet formulation
Vecovartec Plus 40 mg/ 12.5 mg 21,"40 MG, 12.5 MG, 40 MG + 12.5 MG",Pharmacological Agent,Olmesartan + Hydrochlorothiazide
Vedge 500 mg 30,500 MG,"Diabetes, Blood sugar control",Metformin
Vee Biotin 10000 mcg 30,10000 MCG,Vitamin B7,Biotin
Vee Biotin 10000 mcg 60,10000 MCG,Vitamin B7,Biotin
Vee Care 30,,Nutritional supplement,Vitamin supplement
Vee Care 60,,Nutritional supplement,Vitamin supplement
Vee Hair 30,,Nutritional supplement,Hair supplement
Vee Hair 60,,Nutritional supplement,Hair supplement
Vee Hair Pure - N Extra 30,,Nutritional supplement,Hair supplement
Vee Melatonin 3 mg 10,3 MG,Pharmacological Agent,Melatonin
Vee Melatonin 3 mg 60,3 MG,Pharmacological Agent,Melatonin
Vee Melatonin 5 mg 10,5 MG,Pharmacological Agent,Melatonin
Vee Melatonin SR 5 mg 10,5 MG,Pharmacological Agent,Melatonin
Vee Omega 3 30 Hard Gelatin,,Pharmacological Agent,Omega-3 fatty acids
Vee Ortho 30,,Nutritional supplement,Vitamin supplement
Vee Skin 30,,Nutritional supplement,Skin supplement
Vee Vitamin D3 30,,Vitamin D3,Cholecalciferol
Vegalacap 20 Hard Gelatin,,Pharmacological Agent,Probiotic
Vegapantin 600 Mg 30 Tab,600 MG,,Oral tablet formulation
Velcade 3.5 Mg 1 Vial,3.5 MG,,Parenteral formulation
Velcade 3.5 mg Vial (Fridge),3.5 MG,Pharmacological Agent,Bortezomib
Veldera Sano Cream 50 gm,50 G,Pharmacological Agent,Topical cream
Velosef 1 gm 1 Vial,1 G,Cephalosporin Antibiotic,Cefuroxime
Velosef 1 gm 8,1 G,Cephalosporin Antibiotic,Cefuroxime
Velosef 250 mg/5 ml Powder For Oral Suspension 100 ml,"250 MG, 5 ML, 100 ML",Cephalosporin Antibiotic,Cefuroxime
Velosef 500 mg 1 Vial,500 MG,Cephalosporin Antibiotic,Cefuroxime
Velosef 500 mg 16,500 MG,Cephalosporin Antibiotic,Cefuroxime
Velosef 500 Mg 16 Cap,500 MG,,Oral capsule formulation
Vemlidy 25 mg 30,25 MG,Pharmacological Agent,Tenofovir alafenamide
Venaxan 500 mg 5,500 MG,Fluoroquinolone Antibiotic,Levofloxacin
Vendexine,,Pharmacological Agent,Bromhexine
Vendexine Syrup 125 Ml,"125 ML, 125 ML",,Oral liquid formulation
Venera 10 Sachets,,Nutritional supplement,Vitamin supplement
Venlatrope 100 mg 30 Extended Release Film Coated,100 MG,SNRI Antidepressant,Venlafaxine
Venlatrope 100 Mg 30 Tab,100 MG,,Oral tablet formulation
Venlatrope 50 mg 30 Extended Release Film Coated,50 MG,SNRI Antidepressant,Venlafaxine
Venlatrope 50 Mg 30 Tab,50 MG,,Oral tablet formulation
Venllamash 75 mg XR 30,75 MG,SNRI Antidepressant,Venlafaxine
Venllamash XR 150 mg 30,150 MG,SNRI Antidepressant,Venlafaxine
Venllamash Xr 75 Mg 30 Cap (341440),75 MG,,Oral capsule formulation
Veno - West 30,,Nutritional supplement,Vitamin supplement
Veno-West 30 Tab,,,Oral tablet formulation
Venolen Idrogel 100 Ml Gel,"100 ML, 100 ML",,Topical gel formulation
Venomack 30 Film Coated,,Nutritional supplement,Vitamin supplement
Venotec 100 mg 30,100 MG,SNRI Antidepressant,Venlafaxine
Vental 0.1 Mg / Dose 200 Dose Inhaler,0.1 MG,,Pharmaceutical preparation
Vental Comp 200 Dose Inhaler,,,Pharmaceutical preparation
Vental Compositum 200 Dose Oral Inhaler,,Pharmacological Agent,Inhalation solution
Ventocough (With Sugar) Syrup 125 Ml بإضافة السكر,"125 ML, 125 ML",Antitussive,Oral liquid formulation
Ventocough (Without Sugar) Syrup 125 Ml بدون سكر,"125 ML, 125 ML",Antitussive,Oral liquid formulation
Ventoherb,,Nutritional supplement,Herbal supplement
Ventolin 100 Mcgm 200 Doses Evohaler #,100 MCG,,Pharmaceutical preparation
Ventolin 2 Mg / 5 Ml Syrup 125 Ml,"2 MG, 5 ML, 125 ML, 5 ML, 125 ML",,Oral liquid formulation
Ventolin 2 mg/5 ml,"2 MG, 5 ML",Beta2-agonist Bronchodilator,Salbutamol
Ventolin Discus 200 mcg Accuhaler,200 MCG,Beta2-agonist Bronchodilator,Salbutamol
Ventolin Diskus 200 Mcg 60 Doses Inhaler,200 MCG,,Pharmaceutical preparation
Ventolin Evohaler 100 mcg 200 Dose Inhaler,100 MCG,Beta2-agonist Bronchodilator,Salbutamol
Vepicle Dietary Supplement 20,,Nutritional supplement,Multivitamins
Vera Scar Dual Action Gel 20 gm,20 G,Pharmacological Agent,Scar gel
Vera Scar Gel 30 gm,30 G,Pharmacological Agent,Scar gel
Verdapiotal,,Pharmacological Agent,Piracetam
Verdapiotal 10 Mg 30 Tab,10 MG,,Oral tablet formulation
Verdex Prime Alba Cream 50 Ml,"50 ML, 50 ML",,Topical cream formulation
Verdex Prime Alba Serum 30 Ml,"30 ML, 30 ML",,Pharmaceutical preparation
Verdex Prime Eye Contour Serum 15 Ml,"15 ML, 15 ML",,Pharmaceutical preparation
Verdex Prime Hair Forte 12 Amp X 5 Ml,"5 ML, 5 ML",,Pharmaceutical preparation
Verdex Prime Hair Forte Shampoo 200 Ml,"200 ML, 200 ML",,Pharmaceutical preparation
Verdex Prime Laser Post Cream 50 Ml,"50 ML, 50 ML",,Topical cream formulation
Verdex Prime Topica Cream 100 Gm,"100 G, 100 G",,Topical cream formulation
Verdin 100 mg 10 Sachets,100 MG,Nutritional supplement,Vitamin C
Verdo 20,,Nutritional supplement,Vitamin supplement
Verdo 20 Cap,,,Oral capsule formulation
Verlosens Lotion 100 ml,100 ML,Pharmacological Agent,Topical lotion
Verm - 1 500 mg ( 1 ) Tablet,500 MG,Pharmacological Agent,Mebendazole
Verm - 1 500 Mg 28 Tab 28St. (New),500 MG,,Oral tablet formulation
Verm - 1 500 Mg 56 Tab (89861),500 MG,,Oral tablet formulation
Vermizole 200 Mg / 5 Ml Susp 30 Ml,"200 MG, 5 ML, 30 ML, 5 ML, 30 ML",,Pharmaceutical preparation
Vermizole 200 mg 6,200 MG,Pharmacological Agent,Mebendazole
Vermizole 200 Mg 6 Tab #,200 MG,,Oral tablet formulation
Verolex Mouthwash 200 ml,200 ML,Pharmacological Agent,Mouthwash
Veroma 14 Sachets,,Nutritional supplement,Vitamin supplement
Versapenia 50 mg 30,50 MG,PDE5 Inhibitor,Sildenafil
Verserc 16 mg 30,16 MG,Pharmacological Agent,Betahistine
Verserc 24 mg 30,24 MG,Pharmacological Agent,Betahistine
Verserc 8 Mg 30 Tab,8 MG,,Oral tablet formulation
Vertesight 30 Film Coated,,Nutritional supplement,Vitamin supplement
Verzenio 100 Mg 14 Tab,100 MG,,Oral tablet formulation
Verzenio 150 Mg 14 Tab,150 MG,,Oral tablet formulation
Vesicare 10 Mg 30 Tab,10 MG,,Oral tablet formulation
Vesicare 5 mg 30,5 MG,Pharmacological Agent,Solifenacin
Vesticold 500 mg 20,500 MG,"Pain relief, Fever reduction",Paracetamol + Pseudoephedrine + Chlorpheniramine
Vetocetamol 500 / 65 Mg 24 Tab,65 MG,,Oral tablet formulation
Vetocetamol 500 mg/65 mg 24,"500 MG, 65 MG, 500 MG + 65 MG","Pain relief, Fever reduction",Paracetamol
Vetovancin 1 gm 1 Vial IV,1 G,Pharmacological Agent,Telavancin
Vetovancin 500 mg 1 Vial,500 MG,Pharmacological Agent,Telavancin
Vetoyagra 100 mg 12,100 MG,PDE5 Inhibitor,Sildenafil
Veval 100 mg 15,100 MG,Fluoroquinolone Antibiotic,Levofloxacin
Vfend 200 Mg 1 Vial,200 MG,,Parenteral formulation
Vfend 200 mg 10,200 MG,Antifungal (Azole),Voriconazole
Vfend 200 mg Vial (Fridge),200 MG,Antifungal (Azole),Voriconazole
Vfend 50 mg 10,50 MG,Antifungal (Azole),Voriconazole
VG Norm Feminine Wash 200 ml,200 ML,Pharmacological Agent,Feminine wash
VHC Bifoval Forte 15,,Nutritional supplement,Vitamin supplement
VHC Joints 30,,Nutritional supplement,Joint supplement
VHC Propodezas with Ginger 50,,Nutritional supplement,Herbal supplement
VHC Propodezas with Herbal 50,,Nutritional supplement,Herbal supplement
Vhc Propodezas With Herbs 50 Tab,,,Oral tablet formulation
VHC Turprine 1000 30,,Nutritional supplement,Vitamin supplement
Viacoram 3.5 Mg / 2.5 Mg 15 Tab,"3.5 MG, 2.5 MG",,Oral tablet formulation
Viagra 50 mg 4,50 MG,PDE5 Inhibitor,Sildenafil
Viasalmol 0.1 mg 200 Actuation Inhaler,0.1 MG,Beta2-agonist Bronchodilator,Salbutamol
Viasalmol 100 Mcg / Dose 200 Dose Inhaler,100 MCG,,Pharmaceutical preparation
Viasalmol Plus 200 Dose Inhaler,,,Pharmaceutical preparation
Viatrazo 80 mg 3 Vaginal Suppositories,80 MG,Nitroimidazole Antibiotic,Metronidazole
Viatrazo Vaginal Cream 30 gm,30 G,Nitroimidazole Antibiotic,Metronidazole
Viavag 100 mg 10,100 MG,Antifungal (Azole),Fluconazole
Vibramycin 100 mg 10,100 MG,Tetracycline Antibiotic,Doxycycline
Vibramycin 100 Mg 10 Cap,100 MG,,Oral capsule formulation
Vicco Lotion 120 ml,120 ML,Pharmacological Agent,Topical lotion
Vicks - Zzzquil Natura 30 Gummies,30 G,,Pharmaceutical preparation
Vicks - Zzzquil Natura 60 Gummies,60 G,,Pharmaceutical preparation
Vicks Oint 50 Gm,"50 G, 50 G",,Pharmaceutical preparation
Vicksolytic,,Pharmacological Agent,Guaifenesin
Vicksolytic Syrup 120 Ml,"120 ML, 120 ML",,Oral liquid formulation
Victoza 18 mg/ 3 ml 2 Prefilled Pens (Fridge),"18 MG, 3 ML",Pharmacological Agent,Liraglutide
Victoza 6 Mg / Ml 2 Pen 3 Ml,"6 MG, 3 ML, 3 ML",,Pharmaceutical preparation
Vidisept - N Ophtiole 5% Eye Drops 5 Ml X 2,"5 ML, 5 ML, 5%",,Ophthalmic/otic drops
Vidisept-N Eye,,Pharmacological Agent,Antiseptic
Vidona Anti - Hair Fall Shampoo 200 Ml,"200 ML, 200 ML",,Pharmaceutical preparation
Vidrop (Vitamin - D3) Oral Drops 15 Ml#,"15 ML, 15 ML",Vitamin Supplement,Ophthalmic/otic drops
Vigamox 0.5% Eye Drops 5 Ml,"5 ML, 5 ML, 0.5%",,Ophthalmic/otic drops
Vigamox 5 mg/ml Eye,5 MG,Pharmacological Agent,Moxifloxacin
Vigor Men 60,,Nutritional supplement,Vitamin supplement
Vigoton Plus 30 Cap,,,Oral capsule formulation
Vilaphoria 10 mg 30 Film Coated,10 MG,Pharmacological Agent,Vilazodone
Vilaphoria 20 mg 30,20 MG,Pharmacological Agent,Vilazodone
Vilaphoria 40 mg 30,40 MG,Pharmacological Agent,Vilazodone
Vilatriplo 100 / 62.5 / 25 mcg Inhalation,25 MCG,Pharmacological Agent,Fluticasone + Salmeterol
Vilatriplo 200 / 62.5 / 25 mcg Inhalation,25 MCG,Pharmacological Agent,Fluticasone + Salmeterol
Vilazover 40 mg 30,40 MG,Pharmacological Agent,Vilazodone
Vildabetes 1000 mg/ 50 mg 30,"1000 MG, 50 MG, 1000 MG + 50 MG","Diabetes, Blood sugar control",Metformin + Sitagliptin
Vildabetes 50 Mg / 1000 Mg 30 Tab,"50 MG, 1000 MG",,Oral tablet formulation
Vildaformin 50 Mg / 1000 Mg 30 Tab,"50 MG, 1000 MG",,Oral tablet formulation
Vildaglip 50 Mg 30 Tab,50 MG,,Oral tablet formulation
Vildagluse 50 mg 30,50 MG,Pharmacological Agent,Vildagliptin
Vildagluse Plus 50 / 850 mg 30,850 MG,Pharmacological Agent,Vildagliptin + Metformin
Vildagluse Plus 50 Mg / 1000 Mg 30 Tab#,"50 MG, 1000 MG",,Oral tablet formulation
Vildagluse Plus 50 Mg / 500 Mg 30 Tab,"50 MG, 500 MG",,Oral tablet formulation
Vildagluse Plus 50 Mg / 850 Mg 30 Tab,"50 MG, 850 MG",,Oral tablet formulation
Vilgat 50 mg 30,50 MG,Pharmacological Agent,Vildagliptin
Viliglap 50 mg 10,50 MG,Pharmacological Agent,Vildagliptin
Vilzolid 600 Mg 10 Tab,600 MG,,Oral tablet formulation
Vimb Iron 30 Cap,,Iron Supplement,Iron - Essential mineral for blood formation
Vimto Massage Gel 50 gm,50 G,Pharmacological Agent,Massage gel
